epoch,accuracy,loss,val_accuracy,val_loss
0,0.4283834397792816,1.7601511478424072,0.6275839805603027,1.1110612154006958
1,0.6827815771102905,0.9391741752624512,0.7273901700973511,0.7949999570846558
2,0.7564759850502014,0.703709065914154,0.7655038833618164,0.7068169116973877
3,0.7921457290649414,0.6057634949684143,0.7994186282157898,0.5742529630661011
4,0.8189499974250793,0.5246531963348389,0.8604651093482971,0.4134199321269989
5,0.8302396535873413,0.4863141179084778,0.8081395626068115,0.5700635313987732
6,0.8472779989242554,0.4428701102733612,0.8430232405662537,0.45503902435302734
7,0.8539271354675293,0.4215749502182007,0.8168604373931885,0.5785921812057495
8,0.8663942217826843,0.3821262717247009,0.7926356792449951,0.6439467668533325
9,0.8768527507781982,0.36043816804885864,0.8074935674667358,0.6628188490867615
